speaker,uttID,utterance,emotion,sentiment,non_con_out,con_out,con_out_mean,match,con_match,EDA,Cor_EDA,all_match
b'Ses01F_impro06_F001',Ses01F_impro06_F001,"b'No, no, no.'",xxx,sentiment,nn,nn,nn,NotMatch,NotConMatch,nn,nn,AllMatch
b'Ses01F_impro06_M002',Ses01F_impro06_M002,b'...pick up anything?',neu,sentiment,ad,qy,^q,NotMatch,NotConMatch,qy,CORRECT,NotMatch
b'Ses01F_impro06_F002',Ses01F_impro06_F002,b'No.',sad,sentiment,aa,nn,nn,NotMatch,ConMatch,nn,nn,NotMatch
b'Ses01F_impro06_M003',Ses01F_impro06_M003,b'You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.',sad,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro06_F003',Ses01F_impro06_F003,"b""That's sweet.""",neu,sentiment,sv,sd,sv,Match,NotConMatch,sv,sv,NotMatch
b'Ses01F_impro06_F004',Ses01F_impro06_F004,b'Thank you.',neu,sentiment,ft,ft,ft,NotMatch,NotConMatch,ft,ft,AllMatch
b'Ses01F_impro06_F005',Ses01F_impro06_F005,b'I went to see her headstone a week or two ago.',sad,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro06_F006',Ses01F_impro06_F006,"b'I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.'",sad,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro06_M004',Ses01F_impro06_M004,b'Hmm.',neu,sentiment,b,b,b,NotMatch,NotConMatch,b,b,AllMatch
b'Ses01F_impro06_F007',Ses01F_impro06_F007,b'So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.',sad,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro06_F008',Ses01F_impro06_F008,b'So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-',sad,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro06_F009',Ses01F_impro06_F009,"b'this woman came up and, you know, it was hers. It was her person that was there.'",neu,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro06_M005',Ses01F_impro06_M005,b'Oh.  She was there?',neu,sentiment,qy,qy^d,qy,Match,NotConMatch,qy,qy,NotMatch
b'Ses01F_impro06_F010',Ses01F_impro06_F010,"b""Yeah.  And she was like, that's pathetic, I hope you enjoy it.""",sad,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro06_F011',Ses01F_impro06_F011,"b""And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.""",sad,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro06_M006',Ses01F_impro06_M006,b'Mmhmm.',neu,sentiment,b,bf,ba,NotMatch,NotConMatch,bf,CORRECT,NotMatch
b'Ses01F_impro06_F012',Ses01F_impro06_F012,"b""I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.""",sad,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro06_M007',Ses01F_impro06_M007,b'Yeah.',sad,sentiment,b,b,b,NotMatch,NotConMatch,b,b,AllMatch
b'Ses01F_impro06_F013',Ses01F_impro06_F013,"b""I don't know.""",sad,sentiment,h,sd,h,Match,NotConMatch,h,h,NotMatch
b'Ses01F_impro06_M008',Ses01F_impro06_M008,b'How long were you there for?',neu,sentiment,qw,qw,qw,NotMatch,NotConMatch,qw,qw,AllMatch
b'Ses01F_impro06_F014',Ses01F_impro06_F014,b'At the cemetery?',sad,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01F_impro06_M009',Ses01F_impro06_M009,b'Mmhmm.',neu,sentiment,b,sd,ba,NotMatch,NotConMatch,sd,CORRECT,NotMatch
b'Ses01F_impro06_F015',Ses01F_impro06_F015,b'couple hours.',sad,sentiment,sd,%,ad,NotMatch,NotConMatch,%,CORRECT,NotMatch
b'Ses01F_impro06_F016',Ses01F_impro06_F016,"b'I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.'",neu,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro06_M010',Ses01F_impro06_M010,b'Oh really?',neu,sentiment,bh,bh,bh,NotMatch,NotConMatch,bh,bh,AllMatch
b'Ses01F_impro06_M011',Ses01F_impro06_M011,b'You ran through the sprinklers in the cemetery?',neu,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01F_impro06_F017',Ses01F_impro06_F017,b'It was hot.[LIPSMACK]',xxx,sentiment,sd,arp_nd,ny,NotMatch,NotConMatch,arp_nd,CORRECT,NotMatch
b'Ses01F_impro06_M012',Ses01F_impro06_M012,b'Is it a big cemetery?',neu,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01F_impro06_F018',Ses01F_impro06_F018,"b""Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.""",neu,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro06_M013',Ses01F_impro06_M013,"b""Oh, so they're like really old too, really old ones?""",neu,sentiment,qy,sd,sv,NotMatch,NotConMatch,sd,CORRECT,NotMatch
b'Ses01F_impro06_F019',Ses01F_impro06_F019,b'Yeah.',neu,sentiment,b,b,b,NotMatch,NotConMatch,b,b,AllMatch
b'Ses01F_impro06_F020',Ses01F_impro06_F020,"b""It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.""",sad,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro06_F021',Ses01F_impro06_F021,"b""My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her.""",sad,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro06_F022',Ses01F_impro06_F022,b'She used to have these poetry parties on Memorial Day.',sad,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro06_M014',Ses01F_impro06_M014,b'Mmhmm.',neu,sentiment,b,sd,sd,NotMatch,ConMatch,sd,sd,NotMatch
b'Ses01F_impro06_F023',Ses01F_impro06_F023,b'Umm. Yeah.',sad,sentiment,b,b,b,NotMatch,NotConMatch,b,b,AllMatch
b'Ses01F_impro06_F024',Ses01F_impro06_F024,"b""And the last time before she died, I remember she couldn't really stand, umm...""",sad,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro06_F025',Ses01F_impro06_F025,"b'But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool.'",sad,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro06_M015',Ses01F_impro06_M015,b'Mmhmm.',neu,sentiment,b,bf,ba,NotMatch,NotConMatch,bf,CORRECT,NotMatch
b'Ses01F_impro06_F026',Ses01F_impro06_F026,"b""Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-""",sad,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro06_M016',Ses01F_impro06_M016,b'So she wrote a lot of poetry?',neu,sentiment,qy^d,sd,sd,NotMatch,ConMatch,sd,sd,NotMatch
b'Ses01F_impro06_F027',Ses01F_impro06_F027,"b""There's another one, I can't remember.""",neu,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro06_F028',Ses01F_impro06_F028,"b'I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?'",sad,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro06_M017',Ses01F_impro06_M017,b'Mmhmm.Mmhmm.Mmhmm.',xxx,sentiment,sd,ba,ba,NotMatch,ConMatch,ba,ba,NotMatch
b'Ses01F_impro07_M000',Ses01F_impro07_M000,b'Did you get the letter?',exc,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01F_impro07_F000',Ses01F_impro07_F000,"b""Yes.  There's a big envelope it says, you're in. I know.""",exc,sentiment,sd,sd,na,Match,NotConMatch,sd,sd,NotMatch
b'Ses01F_impro07_M001',Ses01F_impro07_M001,b'Yeah. That is so awesome.',exc,sentiment,sv,sd,sv,Match,NotConMatch,sv,sv,NotMatch
b'Ses01F_impro07_M002',Ses01F_impro07_M002,b'Oh my God. What are you going to do? [LAUGHTER]',exc,sentiment,"fo_o_fw_""_by_bc",qh,^q,NotMatch,NotConMatch,qh,CORRECT,NotMatch
b'Ses01F_impro07_F001',Ses01F_impro07_F001,b'So I have to move back to the ghetto but...I know.',xxx,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro07_M003',Ses01F_impro07_M003,"b""Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.""",exc,sentiment,sd,qy^d,qy,NotMatch,NotConMatch,qy^d,CORRECT,NotMatch
b'Ses01F_impro07_F002',Ses01F_impro07_F002,"b""I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.""",exc,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro07_M004',Ses01F_impro07_M004,"b""Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?""",exc,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01F_impro07_F003',Ses01F_impro07_F003,"b'Oh- I know, I know, I know, I know.'",exc,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro07_F004',Ses01F_impro07_F004,"b""I don't know.  I spend so much time commuting as it is, I'd rather.""",exc,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro07_M005',Ses01F_impro07_M005,"b""This is so- I am so happy that you're going to stay.  You're not going to...We should totally throw a party.""",exc,sentiment,sd,sv,sd,Match,NotConMatch,sd,sd,NotMatch
b'Ses01F_impro07_F005',Ses01F_impro07_F005,b'I know. We should throw a party.',exc,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro07_F006',Ses01F_impro07_F006,"b""At Arapaho we could afford that. [GARBAGE]. Yeah.  So what are you doing this summer, though?  You're staying around, too, yeah?""",xxx,sentiment,sd,qy,sd,Match,NotConMatch,sd,sd,NotMatch
b'Ses01F_impro07_M006',Ses01F_impro07_M006,b'A rapper party ho. Yeah. Okay.',exc,sentiment,bk,sd,sv,NotMatch,NotConMatch,sd,CORRECT,NotMatch
b'Ses01F_impro07_M007',Ses01F_impro07_M007,"b""I am just- Yeah.  I'm sticking around, I'm just doing my thing.  I'm living here.  I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo.""",exc,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro07_F007',Ses01F_impro07_F007,"b""It's a relief too. I mean I was thinking I was going to have to pack up all of my stuff but yeah. Hooray for U.S.C.""",xxx,sentiment,sd,sd,sv,Match,NotConMatch,sd,sd,NotMatch
b'Ses01F_impro07_M008',Ses01F_impro07_M008,b'Yeah.  Big time.',exc,sentiment,b,b,sd,Match,NotConMatch,b,b,NotMatch
b'Ses01F_impro07_M009',Ses01F_impro07_M009,b'Mmhmm. Mmhmm. Yay. So what major?  What are you doing?',exc,sentiment,qw,qw,qw,NotMatch,NotConMatch,qw,qw,AllMatch
b'Ses01F_impro07_F008',Ses01F_impro07_F008,"b""Umm. It's...It's uhh...It's Critical Studies. It's a really prestigious program, so they say.""",xxx,sentiment,sv,sd,sd,NotMatch,ConMatch,sd,sd,NotMatch
b'Ses01F_impro07_M010',Ses01F_impro07_M010,"b'Oh, okay.'",xxx,sentiment,b,bk,b,Match,NotConMatch,b,b,NotMatch
b'Ses01F_impro07_M011',Ses01F_impro07_M011,b'Ooh. Fancy.',xxx,sentiment,ba,ba,ba,NotMatch,NotConMatch,ba,ba,AllMatch
b'Ses01F_impro07_F009',Ses01F_impro07_F009,"b""Yeah.  I'm not sure.""",exc,sentiment,sd,sd,fc,Match,NotConMatch,sd,sd,NotMatch
b'Ses01F_impro07_M012',Ses01F_impro07_M012,b'Is this a Masters or a P.h.D.?  Or can you...? Nice',neu,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01F_impro07_F010',Ses01F_impro07_F010,b'Umm...P.h.D. [LAUGHTER]',exc,sentiment,sd,sd,^h,Match,NotConMatch,sd,sd,NotMatch
b'Ses01F_impro07_M013',Ses01F_impro07_M013,"b""That's good.  Don't you have to like teach a class, too, when you do that?""",neu,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01F_impro07_F011',Ses01F_impro07_F011,"b""Um, yeah, yeah.  I'm a TA for two sessions. Mmhmm.""",xxx,sentiment,sd,na,ny,NotMatch,NotConMatch,na,CORRECT,NotMatch
b'Ses01F_impro07_M014',Ses01F_impro07_M014,"b'Teacher. Mrs. Nash, I have a question.'",exc,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro07_F012',Ses01F_impro07_F012,"b""So I get to mold young minds. Mrs.?  That's my mother.""",exc,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro07_M015',Ses01F_impro07_M015,"b""You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning.""",exc,sentiment,sd,qy^d,qy^d,NotMatch,ConMatch,qy^d,qy^d,NotMatch
b'Ses01F_impro07_F013',Ses01F_impro07_F013,"b'I would be like- Oh. Right, right, right.'",exc,sentiment,sd,na,na,NotMatch,ConMatch,na,na,NotMatch
b'Ses01F_impro07_M016',Ses01F_impro07_M016,"b""Mrs. Nash.  That's so awesome, though.""",xxx,sentiment,sv,sv,sv,NotMatch,NotConMatch,sv,sv,AllMatch
b'Ses01F_impro07_F014',Ses01F_impro07_F014,"b""Yeah. Yeah I'm excited. Hooray.  And then I'll be a millionaire once I graduate, you understand? Because that's the way it works.""",xxx,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro07_M017',Ses01F_impro07_M017,"b""Yay...School's fun.""",exc,sentiment,sv,fc,sv,Match,NotConMatch,sv,sv,NotMatch
b'Ses01F_impro07_M018',Ses01F_impro07_M018,"b""Of course, right.  That's where the real money is, being a student.""",neu,sentiment,sv,sv,sd,Match,NotConMatch,sv,sv,NotMatch
b'Ses01F_impro07_F015',Ses01F_impro07_F015,b'Yeah.  Totally. [LAUGHTER]',xxx,sentiment,aa,aa,b,Match,NotConMatch,aa,aa,NotMatch
b'Ses01F_impro07_M019',Ses01F_impro07_M019,"b""That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.""",hap,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01F_impro07_F016',Ses01F_impro07_F016,"b""I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah.""",exc,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_script01_3_F000',Ses01F_script01_3_F000,"b""You're the only one who still loves his parents.""",neu,sentiment,sd,sv,sv,NotMatch,ConMatch,sv,sv,NotMatch
b'Ses01F_script01_3_M000',Ses01F_script01_3_M000,"b""I know.  It kind of went out of style, didn't it?""",neu,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01F_script01_3_F001',Ses01F_script01_3_F001,"b""It's not so bad; it's a good thing.""",neu,sentiment,sv,sv,sv,NotMatch,NotConMatch,sv,sv,AllMatch
b'Ses01F_script01_3_F002',Ses01F_script01_3_F002,"b""[BREATHING] You know, it's lovely here.  The air is sweet.""",neu,sentiment,sv,sv,sv,NotMatch,NotConMatch,sv,sv,AllMatch
b'Ses01F_script01_3_M001',Ses01F_script01_3_M001,"b""You're not sorry you came.""",neu,sentiment,sv,sv,sv,NotMatch,NotConMatch,sv,sv,AllMatch
b'Ses01F_script01_3_F003',Ses01F_script01_3_F003,"b""I'm not sorry, no. But I'm...I can't stay.""",neu,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_script01_3_M002',Ses01F_script01_3_M002,b'Why not?',xxx,sentiment,qw,qw,qw,NotMatch,NotConMatch,qw,qw,AllMatch
b'Ses01F_script01_3_F004',Ses01F_script01_3_F004,"b'For one thing, your mother much as told me to go.'",neu,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_script01_3_M003',Ses01F_script01_3_M003,b'Well.',neu,sentiment,b,fc,b,Match,NotConMatch,b,b,NotMatch
b'Ses01F_script01_3_F005',Ses01F_script01_3_F005,"b""And then, you.  You've been kind of...""",neu,sentiment,sv,qy^d,sd,NotMatch,NotConMatch,qy^d,CORRECT,NotMatch
b'Ses01F_script01_3_M004',Ses01F_script01_3_M004,b'What?',neu,sentiment,br,qw,br,Match,NotConMatch,br,br,NotMatch
b'Ses01F_script01_3_F006',Ses01F_script01_3_F006,b'Sort of embarrassed ever since I got here.',neu,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_script01_3_M005',Ses01F_script01_3_M005,"b""Well I was kind of planning of sneaking up on you over the course of a week or so.  They just take it for granted that we're all set.""",neu,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_script01_3_F007',Ses01F_script01_3_F007,b'I knew they would.',neu,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_script01_3_M006',Ses01F_script01_3_M006,b'You did?',xxx,sentiment,bh,qy,qy^d,NotMatch,NotConMatch,qy,CORRECT,NotMatch
b'Ses01F_script01_3_F008',Ses01F_script01_3_F008,"b""Well sure, from your mother's point of view.  Why else would I come?""",neu,sentiment,sv,qh,sv,Match,NotConMatch,sv,sv,NotMatch
b'Ses01F_script01_3_M007',Ses01F_script01_3_M007,"b""So would you want to?  I mean, I guess you have to know that's kind of why I asked you to come?""",xxx,sentiment,qy,sv,qy,Match,NotConMatch,qy,qy,NotMatch
b'Ses01F_script01_3_F009',Ses01F_script01_3_F009,"b""I, umm. I guess, I guess that's kind of why I came.""",neu,sentiment,sv,na,sv,Match,NotConMatch,sv,sv,NotMatch
b'Ses01F_script01_3_F010',Ses01F_script01_3_F010,b'[BREATHING]',hap,sentiment,sv,sd,sv,Match,NotConMatch,sv,sv,NotMatch
b'Ses01F_script01_3_M008',Ses01F_script01_3_M008,"b'I love you. Annie, I love you.'",hap,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_script01_3_F011',Ses01F_script01_3_F011,b'[LAUGHTER]',hap,sentiment,%,sd,fc,NotMatch,NotConMatch,sd,CORRECT,NotMatch
b'Ses01F_script01_3_M009',Ses01F_script01_3_M009,"b""I don't really have any imagination, that's all I know how to say.""",hap,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_script01_3_F012',Ses01F_script01_3_F012,b'[LAUGHTER]',hap,sentiment,%,sd,sd,NotMatch,ConMatch,sd,sd,NotMatch
b'Ses01F_script01_3_M010',Ses01F_script01_3_M010,"b""Am I embarrassing you? Are you - See, I didn't want to do it here with this yard, on this porch.  I wanted it to be somewhere new, some place fresh for both of us.""",hap,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01F_script01_3_F013',Ses01F_script01_3_F013,b'No. No',hap,sentiment,nn,nn,nn,NotMatch,NotConMatch,nn,nn,AllMatch
b'Ses01F_script01_3_M011',Ses01F_script01_3_M011,"b""You feel uncomfortable here, you feel that it's wrong here somehow.  I just...I don't...I didn't want...I didn't want to take you away from anything.""",xxx,sentiment,sv,sv,sv,NotMatch,NotConMatch,sv,sv,AllMatch
b'Ses01F_script01_3_F014',Ses01F_script01_3_F014,"b""Chris, I've been ready a long, long, time.""",neu,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_script01_3_M012',Ses01F_script01_3_M012,"b""And he's gone forever?  Are you sure?""",xxx,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01F_script01_3_F015',Ses01F_script01_3_F015,b'I almost got married two years ago.',neu,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_script01_3_M013',Ses01F_script01_3_M013,"b""Why didn't you?""",xxx,sentiment,qw,qw,qw,NotMatch,NotConMatch,qw,qw,AllMatch
b'Ses01F_script01_3_F016',Ses01F_script01_3_F016,b'You started to write me.',neu,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_script01_3_M014',Ses01F_script01_3_M014,b'You felt something that far back?',sur,sentiment,qy,qy,qy^d,Match,NotConMatch,qy,qy,NotMatch
b'Ses01F_script01_3_F017',Ses01F_script01_3_F017,b'Every day since.',hap,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_script01_3_M015',Ses01F_script01_3_M015,"b""Why didn't you let me know?""",hap,sentiment,qw,qw,qw,NotMatch,NotConMatch,qw,qw,AllMatch
b'Ses01F_script01_3_F018',Ses01F_script01_3_F018,"b'I was waiting for you, Chris.  You sure can be ambiguous, you know.  And when you did finally write me,'",xxx,sentiment,sd,sv,sd,Match,NotConMatch,sd,sd,NotMatch
b'Ses01F_script01_3_M016',Ses01F_script01_3_M016,b'Give me a...',hap,sentiment,ad,^q,ad,Match,NotConMatch,ad,ad,NotMatch
b'Ses01F_script01_3_M017',Ses01F_script01_3_M017,b'Give me a kiss.',hap,sentiment,ad,ad,ad,NotMatch,NotConMatch,ad,ad,AllMatch
b'Ses01F_script01_3_M018',Ses01F_script01_3_M018,b'God.  I kissed you Annie.',xxx,sentiment,sd,sd,fc,Match,NotConMatch,sd,sd,NotMatch
b'Ses01F_script01_3_F019',Ses01F_script01_3_F019,b'beating around the bush.',hap,sentiment,sd,sd,fc,Match,NotConMatch,sd,sd,NotMatch
b'Ses01F_script01_3_F020',Ses01F_script01_3_F020,"b""I will never forgive you.  All I'd done was sit around wondering if I was crazy waiting so long, wondering if you were thinking about me.""",hap,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_script01_3_M019',Ses01F_script01_3_M019,"b'Oh Annie, we are going to live now.  I am going to make you so happy.'",hap,sentiment,sd,sd,^q,Match,NotConMatch,sd,sd,NotMatch
b'Ses01F_script01_3_F021',Ses01F_script01_3_F021,"b""Not like that you're not.""",hap,sentiment,sv,sv,sv,NotMatch,NotConMatch,sv,sv,AllMatch
b'Ses01F_script01_3_M020',Ses01F_script01_3_M020,b'I kissed you.',hap,sentiment,sd,sd,fc,Match,NotConMatch,sd,sd,NotMatch
b'Ses01F_script01_3_F022',Ses01F_script01_3_F022,"b""Like Larry's brother.  Do it like you, Chris.""",neu,sentiment,qy,qy,ad,Match,NotConMatch,qy,qy,NotMatch
b'Ses01F_script01_3_F023',Ses01F_script01_3_F023,"b'Chris, what is it?'",xxx,sentiment,qw,qw,qw,NotMatch,NotConMatch,qw,qw,AllMatch
b'Ses01F_script01_3_M021',Ses01F_script01_3_M021,"b""Hey, let's drive some place.  Huh?  Let's get out of here.""",sad,sentiment,ad,^h,ad,Match,NotConMatch,ad,ad,NotMatch
b'Ses01F_script01_3_F024',Ses01F_script01_3_F024,b'No. What is it?  Is it your mother?',xxx,sentiment,qw,qy,qw,Match,NotConMatch,qw,qw,NotMatch
b'Ses01F_script01_3_M022',Ses01F_script01_3_M022,"b""No it's nothing like that. It's-""",sad,sentiment,sv,sd,sv,Match,NotConMatch,sv,sv,NotMatch
b'Ses01F_script01_3_F025',Ses01F_script01_3_F025,"b'Then what?  Chris.  Even in your letters, there was something ashamed.'",xxx,sentiment,sv,qw^d,ad,NotMatch,NotConMatch,qw^d,CORRECT,NotMatch
b'Ses01F_script01_3_M023',Ses01F_script01_3_M023,"b""Yeah.  I suppose I have been. But it's going from me.""",sad,sentiment,sd,sd,sv,Match,NotConMatch,sd,sd,NotMatch
b'Ses01F_script01_3_F026',Ses01F_script01_3_F026,"b""You've got to tell me.""",xxx,sentiment,sd,sv,sd,Match,NotConMatch,sd,sd,NotMatch
b'Ses01F_script01_3_M024',Ses01F_script01_3_M024,"b""I don't even know how to start.""",sad,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_script01_3_F027',Ses01F_script01_3_F027,"b""It wouldn't work like this.""",xxx,sentiment,sv,sv,sv,NotMatch,NotConMatch,sv,sv,AllMatch
b'Ses01F_script01_3_M025',Ses01F_script01_3_M025,"b""It's just all mixed up with so many other things, you know?  You know overseas I was in command of a company?""",sad,sentiment,sv,sd,sd,NotMatch,ConMatch,sd,sd,NotMatch
b'Ses01F_script01_3_F028',Ses01F_script01_3_F028,"b'Yeah, sure.'",neu,sentiment,b,b,aa,Match,NotConMatch,b,b,NotMatch
b'Ses01F_script01_3_M026',Ses01F_script01_3_M026,b'Well I lost them.',sad,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_script01_3_F029',Ses01F_script01_3_F029,b'How many?',neu,sentiment,qw,qw,qw,NotMatch,NotConMatch,qw,qw,AllMatch
b'Ses01F_script01_3_M027',Ses01F_script01_3_M027,b'Pretty much all.',sad,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_script01_3_F030',Ses01F_script01_3_F030,"b'Aw, geez.'",sad,sentiment,ba,"fo_o_fw_""_by_bc",ba,Match,NotConMatch,ba,ba,NotMatch
b'Ses01F_script01_3_M028',Ses01F_script01_3_M028,"b""You can't just toss off a thing like that because they weren't just men. You know?""",sad,sentiment,sv,sv,sv,NotMatch,NotConMatch,sv,sv,AllMatch
b'Ses01F_script01_3_M029',Ses01F_script01_3_M029,"b""Like for instance, there was this one time it had been raining for several days and this kid he just came up to me and he gave me his last pair of dry socks.  He just put them in my pocket.  That's a little thing, you know, but that's what kind of guys I had.""",sad,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_script01_3_M030',Ses01F_script01_3_M030,"b""They didn't die, they killed themselves for each other.  I mean that, exactly.  Just a little more selfish and they would all be here today.""",sad,sentiment,sd,sd,sv,Match,NotConMatch,sd,sd,NotMatch
