speaker,uttID,utterance,emotion,non_con_out,con_out,con_out_mean,match,con_match,pre-final-DA,all_match
b'Phoebe',11,"b'Remember, a virgin for me please.'",neutral,sv,ad,sd,NotMatch,NotConMatch,ad,NotMatch
b'Monica',12,b'Oh! And don\xc2\x92t let me leave without getting the name of that carpet guy.',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',13,"b'Ahh, come on! Y\xc2\x92know what\xc2\x97y\xc2\x92know what, I think I\xc2\x92m just gonna go home and call Kathy.'",neutral,sd,ad,sd,Match,NotConMatch,sd,NotMatch
b'Phoebe',14,"b'Well, if you think it will help.'",neutral,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Chandler',15,b'No!',anger,aa,bd,ar,NotMatch,NotConMatch,ar,NotMatch
b'Chandler',16,b'That was a test!',fear,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Chandler',17,b'In a couple of hours I\xc2\x92m gonna get really drunk and wanna call Kathy and you guys are gonna have to stop me!',fear,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',18,"b'And then after that, I\xc2\x92m gonna get so drunk, I\xc2\x92m gonna wanna call Janice'",fear,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Phoebe',19,b'You should! How is she?',surprise,qw,bh,^q,NotMatch,NotConMatch,qw,NotMatch
b'Chandler',20,b'Ohhh!!',anger,ba,ba,^q,Match,NotConMatch,ba,NotMatch
b'Monica',21,b'I think somebody needs another lap dance.',joy,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Monica',0,"b'All right, I definitely taste nutmeg.'",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Phoebe',1,b'You do?',surprise,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Monica',2,"b'You don\xc2\x92t?  Well, that\xc2\x92s the difference between a professional and a layman.'",surprise,sv,sv,qy,Match,NotConMatch,sv,NotMatch
b'Phoebe',3,b'That and arrogance.',anger,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Joey',4,b'Hey.',neutral,ba,ba,ba,Match,ConMatch,ba,AllMatch
b'Monica',5,b'Hey! How was sailing?',joy,qw,qy,qw,Match,NotConMatch,qw,NotMatch
b'Joey',0,b'Wow thanks!',joy,fc,fp,ft,NotMatch,NotConMatch,ft,NotMatch
b'Chandler',1,b'Joe?',fear,br,qy,qy,Match,ConMatch,qy,NotMatch
b'Joey',2,b'Yeah!',joy,b,ny,ny,Match,ConMatch,ny,NotMatch
b'Chandler',3,"b'Uh, you\xc2\x92ve had a lot of sex right?'",neutral,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Joey',4,"b'When? Today? Some, not a lot.'",surprise,sd,qw,br,NotMatch,NotConMatch,qw,NotMatch
b'Chandler',5,"b'Well, it\xc2\x92s just the reason that I\xc2\x92m asking is because I kind of eh, uh, I was unable to\xc2\x97I mean I really wanted to, but I couldn\xc2\x92t\xc2\x85.'",fear,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',6,"b'There huh\xc2\x97hmm, there-there was an incident.'",fear,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Joey',7,"b'Don\xc2\x92t worry about that man, that happens.'",neutral,sv,sd,sd,Match,ConMatch,sd,NotMatch
b'Chandler',8,b'It\xc2\x92s happened to you?',surprise,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Joey',9,b'Yeah! Once.',neutral,ba,na,sv,NotMatch,NotConMatch,ny,NotMatch
b'Chandler',10,"b'Well, what\xc2\x92d you do?'",surprise,qy,qy^d,qy,Match,NotConMatch,qy,NotMatch
b'Joey',11,b'I did it anyway.',neutral,sd,na,na,Match,ConMatch,na,NotMatch
b'Joey',12,b'\xc2\x91Sup? \xc2\x91Sup dude?',neutral,br,qy,qy,Match,ConMatch,qy,NotMatch
b'Chandler',13,"b'Take whatever you want, just please don\xc2\x92t hurt me.'",fear,ad,ad,ad,Match,ConMatch,ad,AllMatch
b'Joey',14,b'So you\xc2\x92re playing a little',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',15,"b'Yes, on a scale from 1 to 10, 10 being the dumbest a person can look, you are definitely 19.'",disgust,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Joey',16,"b'Come on man, really how old?!'",surprise,qw,^q,qw,Match,NotConMatch,qw,NotMatch
b'Chandler',17,"b'Young! You\xc2\x92re a man-child okay?! Now go get changed because everybody\xc2\x92s ready and please, oh please, keep my underwear!'",disgust,qy,ad,qh,NotMatch,NotConMatch,na,NotMatch
b'Ross',0,b'And they knew about it?',surprise,qy^d,sv,qy,NotMatch,NotConMatch,qy^d,NotMatch
b'Phoebe',1,"b'Okay, well Ross, what is this really about?'",surprise,qy,qw,qo,NotMatch,NotConMatch,qw,NotMatch
b'Ross',2,"b'Look, this is my home and I want to be able to come and go whenever I want!'",anger,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Phoebe',3,"b'Okay, I will find someplace else to do the rest of my appointments. I just don\xc2\x92t know what the big deal is!'",anger,sd,^q,sd,Match,NotConMatch,sd,NotMatch
b'Ross',4,"b'The big deal is I don\xc2\x92t want naked, greasy strangers in my apartment when I want to kick back with a puzzle\xc2\x97beer! Cold beer.'",disgust,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',0,"b""Okay, look, he's not gonna hurt them, right?""",neutral,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Monica',1,b'Do you always have to bring him here?',anger,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Ross',2,b"I didn't wanna leave him alone.",neutral,sd,sd,ng,Match,NotConMatch,sd,NotMatch
b'Ross',3,b'Alright?',neutral,br,qy^d,qy,NotMatch,NotConMatch,bh,NotMatch
b'Ross',4,b'We- we had our first fight this morning.',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',5,b'I think it has to do with my working late.',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',6,"b""I said some things that I didn't mean, and he- he threw some faeces...""",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',7,"b""Y'know, if you're gonna work late, I could look in on him for you.""",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',8,"b""Oh, that'd be great!""",joy,ba,^q,ba,Match,NotConMatch,ba,NotMatch
b'Ross',9,"b""Okay, but if you do, make sure it seems like you're there to see him, okay, and you're not like doing it as a favour to me.""",neutral,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Chandler',10,"b""Okay, but if he asks, I'm not going to lie.""",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',0,b'Check this out.',neutral,ad,ad,ad,Match,ConMatch,ad,AllMatch
b'Chandler',1,b'It says here that there\xc2\x92s a place you can go to rent videos of all the museums!',surprise,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',2,b'"It\xc2\x92s almost as good as being there."',neutral,sv,sd,sd,Match,ConMatch,sd,NotMatch
b'Joey',3,b'It\xc2\x92s better! You can\xc2\x92t go to a museum in your underwear!',joy,sv,bf,sv,Match,NotConMatch,sv,NotMatch
b'Joey',4,b'Oh-ho! I bet the British version is gooooood!',joy,ba,sv,sv,Match,ConMatch,sv,NotMatch
b'Jester',0,"b'Uh, may I help you?'",neutral,qy,^q,qy,Match,NotConMatch,qy,NotMatch
b'Monica',1,"b'Yeah, I talked to you on the phone, I\xc2\x92m the lady that got stuck with the racecar bed.'",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Jester',2,"b'Look, it\xc2\x92s like I told you, there\xc2\x92s nothing I can do. You signed for it, Monica Velula Geller.'",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Joey',3,"b'All right, Jester man, look we wanna see the king.'",neutral,fc,ad,sd,NotMatch,NotConMatch,ad,NotMatch
b'Jester',4,b'Nobody sees the king!',anger,sv,sd,sv,Match,NotConMatch,sv,NotMatch
b'Joey',5,"b'Oh-ho-kay, I\xc2\x92m talking to the king.'",neutral,sd,^q,^q,Match,ConMatch,^q,NotMatch
b'Jester',6,b'Hey! You can\xc2\x92t go back there!',surprise,fc,^q,^q,Match,ConMatch,^q,NotMatch
b'Janice',7,b'Oh my God.',surprise,ba,ba,ba,Match,ConMatch,ba,AllMatch
b'Ross',0,"b'So, this must be kinda neat for ya, huh?'",neutral,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Ross',1,"b'I mean, your Dad tells me that you get a couple of days off school, and you, you ah, don\xc2\x92t have to sell those cookies anymore.'",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Sarah',2,"b'Well, I kinda wanted to sell the cookies. The girl who sells the most wins a trip to Spacecamp, and gets to sit in a'",sadness,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',3,"b'Wow, you ah, you really like all this space stuff, huh?'",surprise,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Sarah',4,b'Yeah.',neutral,b,ny,ny,Match,ConMatch,ny,NotMatch
b'Sarah',5,"b'My Dad says if I spend as much time helping him clean apartments, as I do daydreaming about outer space, he\xc2\x92d be able to afford a trip to the Taj Mahal.'",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',6,b'I think you would have to clean a whole lot of apartments to go all the way to India.',neutral,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Sarah',7,"b'No. The one in Atlantic City, Dad loves the slots. He says he\xc2\x92s gonna double the college money my Grandma left me.'",sadness,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Monica',0,"b'Oh, um, I don\xc2\x92t know if that\xc2\x92s a good idea.'",joy,sv,sd,sd,Match,ConMatch,sd,NotMatch
b'Richard',1,"b'Oh. Look, just friends, I won\xc2\x92t grope you. I promise.'",neutral,sd,ad,sd,Match,NotConMatch,sd,NotMatch
b'Monica',2,"b'No, I just I think that it\xc2\x92s too soon.'",joy,sv,sd,sv,Match,NotConMatch,sv,NotMatch
b'Richard',3,"b'No it\xc2\x92s not too soon, I had lunch at a eleven.'",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',0,b'I invented the game of Cups as a way to give Joey money.',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',1,b'And now you want that money back.',surprise,sv,sd,sd,Match,ConMatch,sd,NotMatch
b'Chandler',2,b'Exactly.',neutral,aa,aa,sv,Match,NotConMatch,aa,NotMatch
b'Ross',3,"b'Chandler, what kind of an idiot do you take me for?'",joy,qw,qw,qw,Match,ConMatch,qw,AllMatch
b'Chandler',4,b'It\xc2\x92s not a real game! I made it up!',anger,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',5,"b'I\xc2\x92m sorry you lost your money, but I won it fair and square.'",joy,sv,sd,sd,Match,ConMatch,sd,NotMatch
b'Joey',0,b"I don't know.",neutral,h,h,sd,Match,NotConMatch,h,NotMatch
b'Joey',1,b'But I can see through your sheet.',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Joey',2,"b""Yeah, yeah, that's her.""",neutral,aa,sd,sd,Match,ConMatch,sd,NotMatch
b'Joey',3,b"But y'know what?",neutral,br,qw,qw,Match,ConMatch,qw,NotMatch
b'Joey',4,"b""Doesn't matter, I'm never gonna get to meet her anyway.""",sadness,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Monica',5,b'Why?',neutral,br,qw,qw,Match,ConMatch,qw,NotMatch
b'Joey',6,"b""Because it's impossible to find her apartment! She lives in some like of hot girl parallel universe, or something.""",sadness,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Monica',7,"b'What are you talking about?  She obviously lives on the second floor, seventh apartment from the left!'",surprise,qw,qw,qy,Match,NotConMatch,qw,NotMatch
b'Joey',8,b'No. No. No. She lives on the',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Monica',9,"b""No, those first two windows,  that's the lobby.""",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Monica',10,"b""And y'know the other one over there, that's the stairway.""",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Monica',11,b"You've been counting wrong.",neutral,sv,sd,sd,Match,ConMatch,sd,NotMatch
b'Joey',12,b'I did',anger,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Rachel',0,"b'Monica, betting the apartment, I don\xc2\x92t know about this.'",fear,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Monica',1,"b'Rachel, I have not missed one question the whole game. I own this game! Look at my hand.'",joy,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Rachel',2,b'Why? Do you have the answers written on there?',surprise,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Monica',3,"b'No! Steady as a rock! Now, are you with me.'",neutral,qy,qy,^q,Match,NotConMatch,nn,NotMatch
b'Rachel',4,"b'All right, let\xc2\x92s do it.'",fear,fo_o_fw_"_by_bc,sv,sd,NotMatch,NotConMatch,b,NotMatch
b'Ross',7,"b'All right, gentlemen, you\xc2\x92re up first.'",neutral,sd,sv,aa,NotMatch,NotConMatch,b,NotMatch
b'Joey',8,b'Okay.',neutral,b,aa,fc,NotMatch,NotConMatch,b,NotMatch
b'Chandler',9,b'Okay.',neutral,b,fc,fc,Match,ConMatch,fc,NotMatch
b'Ross',10,b'You have 30 seconds. And the lightning round begins\xc2\x97stop it \xc2\x97now. What was Monica\xc2\x92s nickname when she was a field hockey goalie?',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Joey',11,b'Big fat goalie.',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',12,b'Correct. Rachel claims',neutral,bf,sd,aa,NotMatch,NotConMatch,aa,NotMatch
b'Chandler',13,b'Dangerous Liaisons',neutral,^2,bf,sv,NotMatch,NotConMatch,^2,NotMatch
b'Ross',14,b'Correct. Her actual favorite movie is...',neutral,sv,sd,sv,Match,NotConMatch,sv,NotMatch
b'Joey',15,b'Weekend at Bernie\xc2\x92s',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Phoebe',0,"b'Well, look, why don\xc2\x92t you just, why don\xc2\x92t you do your Phase Two strip club thing with us.'",neutral,qo,sd,qy^d,NotMatch,NotConMatch,qy^d,NotMatch
b'Monica',1,"b'Yeah, come on, we can be guys!'",joy,fc,ad,^q,NotMatch,NotConMatch,aa,NotMatch
b'Chandler',2,b'No you can\xc2\x92t.',joy,sd,^q,qy^d,NotMatch,NotConMatch,nd,NotMatch
b'Chandler',4,"b'You don\xc2\x92t want to be guys, you\xc2\x92d be all hairy and wouldn\xc2\x92t live as long.'",disgust,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Phoebe',5,"b'Y\xc2\x92know you, you just stop being such a wuss and get those off and you come with us and watch naked girls dance around!!'",anger,sv,sv,sd,Match,NotConMatch,sv,NotMatch
b'Chandler',6,b'Okay.',neutral,b,b,b,Match,ConMatch,b,AllMatch
b'Phoebe',7,b'I\xc2\x92m sorry.',sadness,ba,ft,fc,NotMatch,NotConMatch,fa,NotMatch
b'Monica',0,"b""And y'know what, I just realised, in the last year I\xc2\x92ve only gone out with two guys, Richard and Julio.""",surprise,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Monica',1,"b'You gotta help me out here, you gotta set me up, you gotta get me back in the game.'",fear,sd,^q,^q,Match,ConMatch,^q,NotMatch
b'Rachel',2,"b'Well, that shouldn\xc2\x92t be a problem. I mean I work in fashion and all I meet are eligible straight men.'",neutral,sd,sd,^q,Match,NotConMatch,sd,NotMatch
b'Monica',3,"b'Pete, can I get you something else?'",neutral,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Pete',4,"b'Yeah, a slice of cheesecake and-and a date if you\xc2\x92re given\xc2\x92 \xc2\x91em out.'",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Monica',5,b'Haven\xc2\x92t you and I covered that topic?',neutral,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Pete',6,"b'Hmm, come on, you just said to her that you\xc2\x85.'",neutral,fc,na,sd,NotMatch,NotConMatch,na,NotMatch
b'Monica',7,"b'Aww, the only reason you want to go out with me because my blond wig, and the big boobs, and the fact that I serve you food.'",joy,sd,sd,^q,Match,NotConMatch,sd,NotMatch
b'Pete',8,"b'Well, if that were true, I\xc2\x92d dating my Aunt Ruth.'",joy,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Pete',9,b'And the two times we went out were just plain awkward.',disgust,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Pete',10,"b'Come on, you think she should go out with me, don\xc2\x92t you?'",neutral,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Rachel',11,"b'Well, I mean, are you sure you want to go out with her?'",neutral,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Rachel',12,"b'I mean that ain\xc2\x92t a pretty picture in the morning, y\xc2\x92know what I mean.'",disgust,sd,qy^d,sv,NotMatch,NotConMatch,sv,NotMatch
b'Rachel',13,"b""That wig all in disarray, and boobs flung over the night stand, y'know.""",disgust,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Monica',14,"b'I mean really, think about it.'",neutral,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Pete',15,"b'Ho-ho, I will.'",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',0,b'I believe I read that somewhere!',surprise,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',1,"b""That only is not funny, it's physically impossible!""",anger,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Ross',2,b'Okay?',anger,br,aa,qy,NotMatch,NotConMatch,br,NotMatch
b'Ross',3,b"Depending    on the species I'd have to have a six foot long...",anger,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',4,b"It's not funny!",anger,sv,sv,sd,Match,NotConMatch,sv,NotMatch
b'Chandler',5,b'I respectfully disagree.',neutral,aa,sd,aa,Match,NotConMatch,aa,NotMatch
b'Ross',6,b"I can't believe you put that on my alumni page!",anger,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',7,b'Who cares? Nobody reads those things',neutral,qh,sd,qw,NotMatch,NotConMatch,qh,NotMatch
b'Ross',8,b"You'd better hope not because I just read what you put on your    page today.",anger,sd,sv,sd,Match,NotConMatch,sd,NotMatch
b'Chandler',9,b"I don't have a page.",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',10,b'Oh oh oh! I RESPECTFULLY DISAGREE!!',anger,ba,ba,sd,Match,NotConMatch,ba,NotMatch
b'Ross',0,b"I know I miss you too. I can't wait to see you. I love you. Bye.",joy,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',1,"b'Okay, what is in here? Rocks?'",surprise,qy,qw,qw,Match,ConMatch,qw,NotMatch
b'Ross',2,"b'No-no, this is my collection of fossil samples.'",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',3,"b'So, rocks.'",disgust,sd,bf,^2,NotMatch,NotConMatch,bf,NotMatch
b'Ross',4,"b""I'm really gonna miss this apartment. Y'know, Ben-Ben took his first steps right over there.""",sadness,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Joey',5,"b'Ohh. Hey, remember when I ran into this thing  and it kinda knocked me out a little?'",joy,qy^d,^q,qy^d,Match,NotConMatch,qy^d,NotMatch
b'Ross',6,"b""I loved this place! To tell you the truth, I wish I didn't have to move.""",joy,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Joey',7,"b""Uhh, are you saying that you're not entirely happy about this?""",surprise,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Ross',8,"b'Well, I mean if uh, if Emily gave me a choice'",sadness,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Joey',9,b'You',neutral,sd,qy^d,sd,Match,NotConMatch,sd,NotMatch
b'Ross',10,b'Why?',neutral,br,qw,qw,Match,ConMatch,qw,NotMatch
b'Joey',11,"b'Hey, you guys! Look what I found in the giiiiiiift shop.  Get up! Get up! Get up!'",joy,sd,sv,^q,NotMatch,NotConMatch,ad,NotMatch
b'Emily',0,"b'I left a bra drying on the shower rod, you don\xc2\x92t think your son will think it\xc2\x92s yours and be horribly traumatised?'",joy,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',1,"b'Hey, if mommy can have a wife, daddy can have a bra.'",neutral,sd,sv,sd,Match,NotConMatch,sd,NotMatch
b'Emily',2,"b'Ohh, it\xc2\x92s time to go.'",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',3,"b'Oh, no-no-no, see, that-that clock\xc2\x92s a little fast, uh, we have 17 minutes.'",neutral,sd,sv,sd,Match,NotConMatch,sd,NotMatch
b'Ross',4,"b'Huh, what can we do in 17 minutes?'",neutral,qw,^q,qw,Match,NotConMatch,qw,NotMatch
b'Ross',5,b'Twice?',neutral,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Emily',6,b'Well that\xc2\x92s ambitious.',neutral,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Ross',7,"b'Hey, uh, you can ignore that.'",neutral,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Emily',8,b'That\xc2\x92s Carol with your son!',surprise,qy^d,bf,qy^d,Match,NotConMatch,qy^d,NotMatch
b'The Singing Man',0,"b'Morning\xc2\x92s here! Sunshine is here! The sky is clear, the morning\xc2\x92s here! The morning\xc2\x92s here!'",joy,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Rachel',1,b'HEY!! Do you',anger,qy,ad,qy,Match,NotConMatch,qy,NotMatch
b'The Singing Man',2,b'Oh come on! Morning\xc2\x92s here!  Morning\xc2\x92s here! The morning is here! Sunshine is here!',joy,sd,ad,^q,NotMatch,NotConMatch,^q,NotMatch
b'Rachel',3,b'I',neutral,sd,fc,sd,Match,NotConMatch,sd,NotMatch
b'Joey',4,b'Are you kidding? I love that guy!  Morning\xc2\x92s here! Morning is here\xc2\x97',joy,qy,fc,qy,Match,NotConMatch,qy,NotMatch
b'Rachel',5,b'Stop it! I will kill you. I hate the fact that my room is so small.',anger,sd,sd,^q,Match,NotConMatch,sd,NotMatch
b'Monica',6,"b'Hey, I have all the space I need. Just do what I did.'",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Rachel',7,"b'Monica, you don\xc2\x92t even have a bed, you sleep in a ball on the floor!'",anger,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Monica',8,b'Y\xc2\x92know what? I am',neutral,sd,br,br,Match,ConMatch,br,NotMatch
b'Rachel',9,b'I\xc2\x92m sorry. I\xc2\x92m so sorry.',sadness,sd,ba,sd,Match,NotConMatch,sd,NotMatch
b'Monica',10,b'Okay.',neutral,b,b,fc,Match,NotConMatch,b,NotMatch
b'Joey',11,"b'See, this is a'",neutral,sv,sd,fc,NotMatch,NotConMatch,sv,NotMatch
b'Monica',12,b'Shut up! This place is a hole!',anger,sv,^q,b^m,NotMatch,NotConMatch,ad,NotMatch
b'Chandler',0,"b'All right buddy, time to roll over.'",neutral,fc,fc,sv,Match,NotConMatch,fc,NotMatch
b'Chandler',1,b'No-no!',fear,nn,^q,ar,NotMatch,NotConMatch,ar,NotMatch
b'Chandler',2,"b'No, no-n-n-n-no!!'",fear,nn,bd,nn,Match,NotConMatch,ar,NotMatch
b'Chandler',3,b'You are going to a clinic!',disgust,qy^d,^q,^q,Match,ConMatch,^q,NotMatch
b'Chandler',4,"b'You\xc2\x92re going to a clinic, and a pyjama store!'",disgust,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Phoebe',0,b'Are you under the sheet?',neutral,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Monica',1,b'Yes.',neutral,b,ny,ny,Match,ConMatch,ny,NotMatch
b'Phoebe',2,"b'Great, let\xc2\x92s begin.  How\xc2\x92s the pressure?'",joy,qy,qy,qy^d,Match,NotConMatch,qy,NotMatch
b'Monica',3,b'Nice! Wow Phoebe you are good!',joy,sv,ba,sv,Match,NotConMatch,sv,NotMatch
b'Phoebe',4,"b'Stating the obvious, but thank you. And it\xc2\x92s not weird is it.'",joy,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Monica',5,b'No. Ooohh',joy,nn,nn,fo_o_fw_"_by_bc,Match,NotConMatch,nn,NotMatch
b'Phoebe',6,"b'That\xc2\x92s right, you just enjoy.'",neutral,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Monica',7,b'Oh. Oh yeah! Ohhhhh! Ohh! Oh yeah!',joy,ba,aa,b,NotMatch,NotConMatch,b,NotMatch
b'Phoebe',8,b'Okay.',neutral,b,b,fc,Match,NotConMatch,b,NotMatch
b'Monica',9,b'Oh God Phoebe!!  Oh that\xc2\x92s it! That\xc2\x92s it! Right there! Oh!  Ooooh-oooh-ooooh',joy,qy,ba,fc,NotMatch,NotConMatch,ba,NotMatch
b'Kate',0,b'Become a drama critic!',joy,qy,sd,qy^d,NotMatch,NotConMatch,ad,NotMatch
b'The Director',1,b'I am hurt!  A plague on both your houses!',sadness,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Kate',2,"b'By the way, he dumped me tonight after he read my review.'",sadness,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Joey',3,"b'Oh, classy.'",disgust,ba,ba,ba,Match,ConMatch,ba,AllMatch
b'Kate',4,"b""Yep! I sure know how to pick \xc2\x91em, huh? Y'know I gave up a part on a soap for this!""",sadness,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Joey',5,"b'Wow! Yeah I ah, I gave up a job too.'",anger,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Kate',6,b'Really. What?',surprise,br,bh,qw,NotMatch,NotConMatch,br,NotMatch
b'Joey',7,"b'Uh, de-clawing cats.'",anger,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Joey',8,"b'Hey, tell ya what.'",neutral,ba,ad,ad,Match,ConMatch,ad,NotMatch
b'Joey',9,b'Let me walk you home.',neutral,ad,ad,ad,Match,ConMatch,ad,AllMatch
b'Joey',10,b'We\xc2\x92ll stop by every news stand and burn every copy of their Times and the Post.',anger,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Kate',11,b'Why the Post?',surprise,qw,qw,qw,Match,ConMatch,qw,AllMatch
b'Joey',12,"b'Oh, you didn\xc2\x92t see the Post?'",surprise,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Kate',13,b'No. You?',neutral,qy,nn,qy,Match,NotConMatch,nn,NotMatch
b'Joey',14,b'No. Why?',neutral,br,qw,qh,NotMatch,NotConMatch,qh,NotMatch
b'Rachel',0,b'Hi Joey! What are you doing here?',joy,fp,br,qy,NotMatch,NotConMatch,fp,NotMatch
b'Joey',1,"b'Uhh, well I\xc2\x92ve got an audition down the street and I spilled sauce all over the front of my shirt.  You got an extra one?'",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Rachel',2,"b'Yeah, sure. Umm\xc2\x85here.'",neutral,b,b,b,Match,ConMatch,b,AllMatch
b'Joey',3,b'Great.  You got anything that\xc2\x92s not',disgust,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Rachel',4,"b'Yeah, I don\xc2\x92t think so Joe.'",neutral,sd,sv,fc,NotMatch,NotConMatch,b,NotMatch
b'Joey',5,"b'All right, I guess this will be fine.'",neutral,sv,sv,fc,Match,NotConMatch,sv,NotMatch
b'Rachel',6,"b'Hey, listen umm, what-what are you doing tonight?'",neutral,qw,^q,fc,NotMatch,NotConMatch,qw,NotMatch
b'Joey',7,"b'Nothing, why?'",neutral,br,^q,qw,NotMatch,NotConMatch,br,NotMatch
b'Rachel',8,b'How would you feel about taking out my assistant Tag? I\xc2\x92ll pay.',neutral,qo,qw,qo,Match,NotConMatch,qo,NotMatch
