speaker,utt_id,utterance,emotion,sentiment,eda1,eda2,eda3,eda4,eda5,EDA,all_match,con_match,match
b'Ses02M_impro01_M',020,b'',fru,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses02M_impro01_F',022,b'',fru,,sv,sv,sv,sv,sd,sv,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02M_impro01_F',023,b'',fru,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses02M_impro01_M',021,b'',fru,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses02M_impro01_M',022,b'',fru,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses02M_impro01_F',024,b'',fru,,sv,sd,sv,sd,sv,sv,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses02M_script03_2_M',000,b'',neu,,sd,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses02M_script03_2_F',000,b'',exc,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_M',001,b'',ang,,sv,sd,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'Ses02M_script03_2_F',001,b'',exc,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_M',002,b'',xxx,,sd,sd,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02M_script03_2_F',002,b'',neu,,qy,qy,^q,qy,qy,qy,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses02M_script03_2_M',003,b'',ang,,sd,sv,sd,sd,ny,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02M_script03_2_F',003,b'',neu,,ft,fc,ft,ft,b,ft,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02M_script03_2_M',004,b'',xxx,,fc,fc,fc,ft,fc,fc,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses02M_script03_2_F',004,b'',xxx,,sd,sd,sd,fc,qw,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_M',005,b'',ang,,qy,qy,sd,^q,qy,qy,AllNotMatch,NotConMatch,ConfMatchOnlyTwo12
b'Ses02M_script03_2_F',005,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_M',006,b'',xxx,,qw,qy,qo,qw,b,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_F',006,b'',neu,,ba,sd,sd,sd,ba,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02M_script03_2_M',007,b'',ang,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_F',007,b'',neu,,sv,qy,qy,qy,sv,qy,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02M_script03_2_M',008,b'',xxx,,sd,qh,sd,qw^d,ny,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_F',008,b'',fru,,br,qw,qw,qw,br,qw,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02M_script03_2_M',009,b'',xxx,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_F',009,b'',neu,,sd,sd,na,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses02M_script03_2_M',010,b'',neu,,qw,qw,qw,qw,qw,qw,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_F',010,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_M',011,b'',neu,,aa,fc,b,aa,b,b,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'Ses02M_script03_2_F',011,b'',neu,,sv,sd,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02M_script03_2_M',012,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_F',012,b'',neu,,qw,qh,^q,sd,qw,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_M',013,b'',xxx,,qy,sd,sd,qy,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses02M_script03_2_F',013,b'',xxx,,b,ny,ad,b,ny,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_M',014,b'',xxx,,sd,qy,qy^d,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses02M_script03_2_F',014,b'',ang,,sd,sd,ad,sv,sv,sv,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'Ses02M_script03_2_M',015,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_F',015,b'',neu,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_M',016,b'',neu,,sd,sd,na,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses02M_script03_2_F',016,b'',xxx,,qw,qw,qw,qw,qy,qw,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02M_script03_2_M',017,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_F',017,b'',xxx,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_M',018,b'',neu,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_F',018,b'',fru,,b,b,b,aa,b,b,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses02M_script03_2_M',019,b'',xxx,,sd,sd,sv,aa,sv,sv,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'Ses02M_script03_2_F',019,b'',ang,,sd,sd,aa,aa,sv,aa,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'Ses02M_script03_2_M',020,b'',xxx,,sd,sd,ad,ad,ad,ad,AllNotMatch,ConMatch,NotMatch
b'Ses02M_script03_2_F',020,b'',xxx,,sv,sv,sv,sd,sv,sv,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses02M_script03_2_M',021,b'',fru,,sd,sd,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'Ses02M_script03_2_F',021,b'',xxx,,qw,qh,qw,qw,br,qw,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02M_script03_2_M',022,b'',fru,,sv,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses02M_script03_2_F',022,b'',xxx,,sd,sd,sv,sv,sd,sv,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'Ses02M_script03_2_M',023,b'',fru,,sv,sv,sv,sv,sd,sv,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02M_script03_2_F',023,b'',ang,,sd,qy,sd,sv,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses02M_script03_2_M',024,b'',neu,,sv,sd,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'Ses02M_script03_2_F',024,b'',neu,,sv,sv,sv,sd,sv,sv,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses02M_script03_2_M',025,b'',xxx,,qw,sd,qy,qy,qy,qy,AllNotMatch,ConMatch,NotMatch
b'Ses02M_script03_2_F',025,b'',xxx,,aa,aa,sd,aa,aa,aa,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses02M_script03_2_M',026,b'',ang,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_M',027,b'',ang,,sd,sd,sd,sv,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses02M_script03_2_F',026,b'',xxx,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_M',028,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_M',029,b'',xxx,,qy^d,sd,qy,qy,sd,qy,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'Ses02M_script03_2_F',027,b'',xxx,,b,aa,ny,ny,ny,ny,AllNotMatch,ConMatch,NotMatch
b'Ses02M_script03_2_M',030,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_F',028,b'',ang,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_M',031,b'',ang,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_F',029,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_M',032,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_M',033,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_F',030,b'',xxx,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_M',034,b'',xxx,,sv,qy,qy^d,qy,sv,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_F',031,b'',xxx,,sd,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses02M_script03_2_M',035,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_F',032,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_M',036,b'',xxx,,sv,sv,sd,sv,sv,sv,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses02M_script03_2_F',033,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_M',037,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_F',034,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_M',038,b'',xxx,,qw,qo,qo,qw,qw,qw,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses02M_script03_2_F',035,b'',ang,,br,br,qw,qw,br,qw,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'Ses02M_script03_2_M',039,b'',ang,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_F',036,b'',ang,,sv,sv,sv,sv,sd,sv,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02M_script03_2_M',040,b'',ang,,qw,qy,qw,qw,qw,qw,AllNotMatch,ConMatch,NotMatch
b'Ses02M_script03_2_F',037,b'',ang,,qw,qw,qw,qw,qw,qw,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_M',041,b'',ang,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_F',038,b'',ang,,sd,sd,sd,sv,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses02M_script03_2_M',042,b'',ang,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_F',039,b'',ang,,qw,sd,qw,qw,qw,qw,AllNotMatch,ConMatch,NotMatch
b'Ses02M_script03_2_M',043,b'',ang,,qy^d,sd,sd,sd,h,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02M_script03_2_F',040,b'',ang,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_M',044,b'',ang,,qw,qy,qw,qy,qy,qy,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses02M_script03_2_F',041,b'',ang,,sv,sd,sv,sv,sd,sv,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02M_script03_2_M',045,b'',ang,,br,qy,qw,qh,qh,qh,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'Ses02M_script03_2_M',046,b'',ang,,qw,qw,qw,qw,qw,qw,AllMatch,NotConMatch,NotMatch
b'Ses02M_script03_2_M',047,b'',ang,,fc,fc,ad,^h,ad,ad,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'Ses02M_script03_2_F',042,b'',ang,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro04_M',000,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro04_F',000,b'',fru,,qh,qy,sd,sd,qy,sd,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'Ses02F_impro04_M',001,b'',neu,,qw,qw,qw,qh,qw,qw,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses02F_impro04_F',001,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro04_F',002,b'',fru,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro04_M',002,b'',xxx,,sd,sd,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'Ses02F_impro04_F',003,b'',fru,,qw,qo,qw,qw,qw,qw,AllNotMatch,ConMatch,NotMatch
b'Ses02F_impro04_M',003,b'',neu,,sd,sd,sd,^q,sv,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses02F_impro04_F',004,b'',fru,,sd,sd,sd,^2,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses02F_impro04_M',004,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro04_F',005,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro04_M',005,b'',neu,,ad,^2,bf,ad,ba,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses02F_impro04_F',006,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro04_M',006,b'',neu,,ad,^2,ad,ad,fc,ad,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02F_impro04_M',007,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro04_F',007,b'',fru,,fc,fc,b,ba,b,b,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'Ses02F_impro04_M',008,b'',neu,,sv,^2,ad,sv,sv,sv,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses02F_impro04_F',008,b'',fru,,qw,qy,ad,qh,fc,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses02F_impro04_M',009,b'',neu,,sv,^2,ad,sv,ad,ad,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'Ses02F_impro04_F',009,b'',sad,,qw,qh,qw,qw,qw,qw,AllNotMatch,ConMatch,NotMatch
b'Ses02F_impro04_M',010,b'',neu,,fc,^q,ad,ad,ad,ad,AllNotMatch,ConMatch,NotMatch
b'Ses02F_impro04_M',011,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro04_F',010,b'',fru,,qw,qw,qw,qw,qw,qw,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro04_M',012,b'',neu,,sd,sv,ad,sd,ad,ad,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'Ses02F_impro04_F',011,b'',fru,,sd,^q,ny,sd,fc,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses02F_impro04_M',013,b'',neu,,aa,sd,fc,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses02F_impro04_F',012,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro04_M',014,b'',fru,,sv,sv,sv,sd,sv,sv,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses02F_impro04_F',013,b'',fru,,sv,sd,sv,sd,sv,sv,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses02F_impro04_M',015,b'',neu,,sd,qy,qy,qy,sv,qy,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02F_impro04_F',014,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro04_M',016,b'',neu,,sd,ad,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ses02F_impro04_M',017,b'',neu,,sd,sd,sd,sd,ad,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02F_impro04_F',015,b'',fru,,sv,sv,ad,sd,sv,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses02F_impro04_M',018,b'',neu,,sd,sd,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02F_impro04_F',016,b'',sad,,fc,fc,b,"fo_o_fw_""_by_bc",b,b,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'Ses02F_impro04_M',019,b'',neu,,fc,sd,ad,fc,fc,fc,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses02F_impro04_F',017,b'',xxx,,sd,sd,^q,fc,sd,sd,AllNotMatch,NotConMatch,ConfMatchFirst123
b'Ses02F_impro04_M',020,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_F',000,b'',exc,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_M',000,b'',xxx,,fc,oo_co_cc,ad,ad,sd,ad,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'Ses02F_impro03_F',001,b'',exc,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_M',001,b'',neu,,fc,sd,sd,fc,"fo_o_fw_""_by_bc",fc,AllNotMatch,NotConMatch,ConfMatchOnlyTwo12
b'Ses02F_impro03_F',002,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_M',002,b'',sur,,sd,sd,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02F_impro03_M',003,b'',xxx,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_F',003,b'',xxx,,sv,sv,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'Ses02F_impro03_M',004,b'',hap,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_F',004,b'',exc,,sd,sv,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ses02F_impro03_M',005,b'',exc,,sd,sd,sd,fc,qy,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses02F_impro03_F',005,b'',xxx,,b,b,ny,fc,b,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses02F_impro03_F',006,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_F',007,b'',xxx,,sv,sd,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ses02F_impro03_F',008,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_M',006,b'',sur,,sv,sd,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ses02F_impro03_F',009,b'',exc,,b,bk,b,b,b,b,AllNotMatch,ConMatch,NotMatch
b'Ses02F_impro03_M',007,b'',sur,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_F',010,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_M',008,b'',xxx,,sv,qy,sd,sd,ba,sd,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'Ses02F_impro03_F',011,b'',exc,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_M',009,b'',hap,,qy,qh,qy,qy,qy,qy,AllNotMatch,ConMatch,NotMatch
b'Ses02F_impro03_F',012,b'',exc,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_M',010,b'',hap,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_F',013,b'',exc,,sv,sv,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'Ses02F_impro03_M',011,b'',hap,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_F',014,b'',exc,,b,qy,b,b,b,b,AllNotMatch,ConMatch,NotMatch
b'Ses02F_impro03_M',012,b'',exc,,fc,qy,b,ny,aa,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses02F_impro03_F',015,b'',hap,,sd,qy,^q,^q,sd,^q,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'Ses02F_impro03_F',016,b'',hap,,sd,sd,sv,sd,sv,sv,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'Ses02F_impro03_M',013,b'',neu,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_F',017,b'',hap,,sv,sd,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02F_impro03_M',014,b'',neu,,aa,aa,aa,aa,aa,aa,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_F',018,b'',hap,,fc,sd,ad,sd,fc,fc,AllNotMatch,NotConMatch,ConfMatchOnlyTwo12
b'Ses02F_impro03_M',015,b'',neu,,ba,ba,ba,fc,fc,fc,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'Ses02F_impro03_F',019,b'',hap,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_M',016,b'',neu,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_F',020,b'',xxx,,sd,sd,sd,sv,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses02F_impro03_M',017,b'',neu,,sd,sv,sv,sv,sd,sv,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02F_impro03_F',021,b'',exc,,aa,aa,b,b,b,b,AllNotMatch,ConMatch,NotMatch
b'Ses02F_impro03_M',018,b'',neu,,ba,fc,ba,aa,ba,ba,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses02F_impro03_F',022,b'',xxx,,aa,^2,aa,aa,b,aa,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02F_impro03_M',019,b'',hap,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_F',023,b'',hap,,fc,fc,sv,fc,sd,fc,AllNotMatch,NotConMatch,ConfMatchFirst123
b'Ses02F_impro03_M',020,b'',hap,,fc,sv,sv,fc,fc,fc,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses02F_impro03_F',024,b'',exc,,fc,sd,fc,fc,fc,fc,AllNotMatch,ConMatch,NotMatch
b'Ses02F_impro03_M',021,b'',xxx,,fc,fc,fc,fc,fc,fc,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_F',025,b'',xxx,,qw,qy,fc,fc,fc,fc,AllNotMatch,ConMatch,NotMatch
b'Ses02F_impro03_M',022,b'',hap,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_M',023,b'',hap,,ba,ba,ba,ba,ba,ba,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_F',026,b'',hap,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_M',024,b'',exc,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_F',027,b'',hap,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_M',025,b'',exc,,sd,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses02F_impro03_F',028,b'',exc,,qy,sv,sv,qy,sv,sv,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses02F_impro03_F',029,b'',hap,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_M',026,b'',hap,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses02F_impro03_F',030,b'',hap,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_script01_1_F',000,b'',xxx,,sv,sd,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'Ses02F_script01_1_M',000,b'',xxx,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses02F_script01_1_F',001,b'',xxx,,sd,sd,h,sd,sv,sd,AllNotMatch,NotConMatch,ConfMatchFirst123
b'Ses02F_script01_1_M',001,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_script01_1_F',002,b'',xxx,,sd,sv,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ses02F_script01_1_M',002,b'',xxx,,sv,sd,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'Ses02F_script01_1_F',003,b'',xxx,,sv,sd,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'Ses02F_script01_1_M',003,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_script01_1_F',004,b'',sad,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_script01_1_M',004,b'',xxx,,sv,sv,sv,sd,sv,sv,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses02F_script01_1_F',005,b'',sad,,sv,sv,sv,sv,sd,sv,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses02F_script01_1_M',005,b'',xxx,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses02F_script01_1_F',006,b'',sad,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses02F_script01_1_F',007,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_script01_1_M',006,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_script01_1_F',008,b'',xxx,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses02F_script01_1_M',007,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses02F_script01_1_F',009,b'',xxx,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses02F_script01_1_M',008,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
